Date,Portfolio_CumReturn,SP500_CumReturn,NASDAQ_CumReturn,Vol_Daily,Vol_Weekly,Vol_Monthly,Drawdown_Current,Drawdown_Max,Return_Port_Daily,Return_Port_Weekly,Return_Port_Monthly,Return_SP_Weekly,Return_SP_Monthly,Return_NASDAQ_Weekly,Return_NASDAQ_Monthly,Sharpe_Monthly_Rolling
2022-02-07,91.93,93.48,88.52,,75.53,64.28,-7.4,-26.01,3.37,18.64,3.76,-2.3,-3.84,-2.79,-5.9,0.996
2022-02-08,92.52,94.27,89.65,,75.31,64.29,-6.82,-26.01,0.63,18.74,4.11,0.98,-1.21,2.27,-2.15,1.059
2022-02-09,92.98,95.63,91.52,,23.17,63.97,-6.35,-26.01,0.5,6.84,6.22,1.93,1.2,2.78,1.05,1.437
2022-02-10,91.36,93.9,89.6,,31.07,63.57,-7.98,-26.01,-1.74,5.13,7.09,0.08,0.48,0.62,0.22,1.598
2022-02-11,88.93,92.12,87.1,,37.3,51.55,-10.43,-26.01,-2.66,-0.01,16.32,-1.82,0.47,-2.18,0.16,3.768
2022-02-12,88.59,92.12,87.1,,22.77,48.89,-10.77,-26.01,-0.39,-3.64,20.59,-1.45,0.47,-1.6,0.16,4.84
2022-02-13,88.49,92.12,87.1,,20.46,48.06,-10.87,-26.01,-0.11,-4.35,16.32,-2.28,0.47,-2.84,0.16,4.007
2022-02-14,89.31,91.77,87.1,,22.38,48.06,-10.05,-26.01,0.92,-3.95,16.19,-4.04,-0.19,-4.83,-0.46,3.978
2022-02-15,93.47,93.21,89.31,,42.5,49.93,-5.85,-26.01,4.67,2.32,20.62,-0.73,2.63,-0.32,4.44,4.754
2022-02-16,92.19,93.3,89.21,,37.18,50.41,-7.15,-26.01,-1.38,3.66,19.29,1.28,2.88,2.41,4.3,4.447
2022-02-17,85.01,91.32,86.63,,72.09,58.7,-14.38,-26.01,-7.79,-4.04,9.15,-0.87,1.24,-0.54,2.73,2.068
2022-02-18,83.95,90.67,85.57,,71.92,58.81,-15.45,-26.01,-1.25,-5.13,5.95,-1.58,-1.87,-1.76,-1.62,1.454
2022-02-19,84.14,90.67,85.57,,70.94,58.77,-15.26,-26.01,0.23,-5.79,5.2,-1.2,-1.87,-1.76,-1.62,1.311
